Title,Brand,Price,Prime,URL
"e.l.f. Expert Liquid Liner 2-Pack, High-Pigmented, Extra-Fine Liquid Eyeliner For Precise Definition, Long-Lasting, Vegan & Cruelty-Free, Jet Black",e.l.f.,$5.00,yes,https://www.amazon.com/l-f-High-Pigmented-Extra-Fine-Long-Lasting-Cruelty-Free/dp/B0BSR7D8RB/ref=sr_1_208?qid=1689463125&s=beauty&sr=1-208
"Neutrogena Healthy Skin Anti-Aging Perfector Tinted Facial Moisturizer and Retinol Treatment with Broad Spectrum SPF 20 Sunscreen with Titanium Dioxide, 20 Fair to Light, 1 fl. oz",Neutrogena,$9.79,yes,https://www.amazon.com/Neutrogena-Healthy-Anti-Aging-Perfector-Treatment/dp/B01BF6UX5E/ref=sr_1_213?qid=1689463125&s=beauty&sr=1-213
Newcally Lashes False Eyelashes Cat Eyes Wispy Natural Faux Mink Lashes 14 Pairs Pack Light Volume Short Fake Eye Lashes Multipack,Newcally,$9.45,yes,https://www.amazon.com/Newcally-Lashes-False-Eyelashes-Natural/dp/B089LLLYX9/ref=sr_1_214?qid=1689463125&s=beauty&sr=1-214
NYX PROFESSIONAL MAKEUP Color Correcting Concealer Palette,None,$11.73,yes,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Concealer-Correcting/dp/B00VF9Z7OE/ref=sr_1_215?qid=1689463125&s=beauty&sr=1-215
"e.l.f. High Definition Powder, Loose Powder, Lightweight, Long-Lasting, Creates Soft Focus Effect, Masks Fine Lines & Imperfections, 0.28 Oz, Sheer",e.l.f.,$6.00,yes,https://www.amazon.com/l-f-Definition-Powder-Flawless-Lightweight/dp/B004DIXYUI/ref=sr_1_216?qid=1689463125&s=beauty&sr=1-216
"e.l.f, Perfect Finish HD Powder, Convenient, Portable Compact, Fills Fine Lines, Blurs Imperfections, Soft, Smooth Finish, Anytime Wear, 0.28 Oz",e.l.f.,$6.00,yes,https://www.amazon.com/Perfect-Convenient-Portable-Compact-Imperfections/dp/B01D1DRF9Q/ref=sr_1_217?qid=1689463125&s=beauty&sr=1-217
USDA Organic Castor Oil for Eyelashes and Eyebrows - All Natural Cold Pressed Castor Oil Eyelash Growth Serum with Mascara Tube - Caster Oil Eyebrow Growth Serum Eyelash Conditioner Lash Boost Serum,Live Fraiche,$13.99,No,https://www.amazon.com/USDA-Organic-Castor-Eyelashes-Eyebrows/dp/B01ICGFKDU/ref=sr_1_218?qid=1689463125&s=beauty&sr=1-218
"Wet n Wild MegaGlo Makeup Stick Conceal and Contour Brown Where's Walnut?,1.1 Ounce (Pack of 1),806",wet n wild,$3.99,yes,https://www.amazon.com/Wet-Wild-Megaglo-Makeup-806/dp/B01MZ7A0OF/ref=sr_1_219?qid=1689463125&rdc=1&s=beauty&sr=1-219
Grande Cosmetics GrandePRIMER Pre-Mascara Lengthener & Thickener,Grande Cosmetics,$15.00,yes,https://www.amazon.com/Grande-Cosmetics-GN1007-GrandePRIMER/dp/B00XNDBSJ8/ref=sr_1_220?qid=1689463125&s=beauty&sr=1-220
Lash Bond and Seal 10ml Individual Lashes Glue and Seal Super Strong Hold DIY Lash Extension Kit Hold 48-72 Hours Waterproof Cluster Lash Glue Latexfree Eyelash Extension Kit,FADLASH,"$13,95",yes,https://www.amazon.com/Lash-Bond-Seal-Individual-Waterproof/dp/B0BRQFBGZN/ref=sr_1_221?qid=1689463125&s=beauty&sr=1-221
"Maybelline New York Super Stay Vinyl Ink Longwear No-Budge Liquid Lipcolor Makeup, Highly Pigmented Color and Instant Shine, Cheeky, Rose Nude Lipstick, 0.14 fl oz, 1 Count",Maybelline New York,$9.98,yes,https://www.amazon.com/Maybelline-Longwear-No-Budge-Lipcolor-Pigmented/dp/B09QH8148N/ref=sr_1_222?qid=1689463125&s=beauty&sr=1-222
"Maybelline New York Volum' Express Colossal Washable Mascara Makeup, Volumizing, Glam Black, 1 Count",Maybelline New York,"$6,84",yes,https://www.amazon.com/Maybelline-Express-Colossal-Washable-Mascara/dp/B002ZTVMDI/ref=sr_1_223?qid=1689463125&s=beauty&sr=1-223
"Julep Eyeshadow 101 Crème to Powder Waterproof Eyeshadow Stick, Stone Matte",Julep,Not available,No,https://www.amazon.com/Julep-Eyeshadow-Cr%C3%A8me-Powder-Waterproof/dp/B01LW19NI2/ref=sr_1_224?qid=1689463125&s=beauty&sr=1-224
"twenty/twenty beauty Get Growing Lash & Brow Serum with Castor Oil for Longer, Fuller, Thicker Looking Lashes, Natural and Physician Developed, 0.33 Fl Oz",twenty/twenty beauty,$46.80 ,yes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NTM4MTQxNTY1MTk5NzExOjE2ODk0NjMxMjU6c3BfbXRmX2Jyb3dzZToyMDAwOTc5NjY4Mzc1OTg6OjA6Og&url=%2Ftwenty-beauty-Lengthening-Conditioning-Eyelashes%2Fdp%2FB0BCMK1VPT%2Fref%3Dsr_1_228_sspa%3Fqid%3D1689463125%26s%3Dbeauty%26sr%3D1-228-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
"NYX PROFESSIONAL MAKEUP Pore Filler Blurring Primer, Vegan Face Primer",NYX PROFESSIONAL MAKEUP,$11.64,yes,https://www.amazon.com/NYX-Professional-Makeup-Filler-Ounce/dp/B007NNU2WI/ref=sr_1_229?qid=1689463125&s=beauty&sr=1-229
"Rimmel Scandaleyes Waterproof Gel Eye Liner Pencil, Black 001",Rimmel,$4.79,yes,https://www.amazon.com/Rimmel-Scandaleyes-Waterproof-Kajal-Liner/dp/B00DNK5UR2/ref=sr_1_230?qid=1689463125&s=beauty&sr=1-230
"Youthforia BYO Blush, Color Changing Blush Oil, Reacts To Skin’s Natural pH For Your Instant Perfect Shade, Blendable Formula, Vegan & Cruelty-Free",Youthforia,$36.00,yes,https://www.amazon.com/Youthforia-BYO-Blush-Green-Changing/dp/B09CLT4GB6/ref=sr_1_231?qid=1689463125&s=beauty&sr=1-231
"Julep Eyeshadow 101 Crème to Powder Waterproof Eyeshadow Stick, Taupe Shimmer",Julep,$16.00,yes,https://www.amazon.com/Julep-Eyeshadow-Powder-Waterproof-Shimmer/dp/B01LW17NAM/ref=sr_1_232?qid=1689463125&s=beauty&sr=1-232
"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Tiramisu (Brown)",NYX PROFESSIONAL MAKEUP,$4.99,yes,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Butter-Tiramisu/dp/B00BKHDF9A/ref=sr_1_233?qid=1689463125&s=beauty&sr=1-233
"AYASAL Lash Lift Kit Eyelash Perm Kit, With Detailed Instruction Eyelash Lift Kit, Easy for Beginner and Professional Lash Perm Kit, Achieve Salon-Quality Lashes Lift with Safe and Effective Result",AYASAL,"$24,99",yes,https://www.amazon.com/AYASAL-Long-Lasting-Professional-Semi-Permanent-Quality/dp/B08M2HRV2W/ref=sr_1_234?qid=1689463125&s=beauty&sr=1-234
Lancôme La Base Pro Makeup Primer For Face - Perfecting & Smoothing Makeup Base - Oil-Free - 0.8 Fl Oz,Lancôme,$42.00,yes,https://www.amazon.com/Perfecting-Makeup-Primer-Smoothing-Lancome/dp/B00G40FJH4/ref=sr_1_235?qid=1689463125&s=beauty&sr=1-235
Mink Lashes Natural Look False Eyelashes Fluffy Flat Eyelashes 3D Mink Lashes Wispy Strips Lashes 7 Pairs Multipack by Focipeysa,Focipeysa,$8.49,yes,https://www.amazon.com/Lashes-Natural-Eyelashes-Multipack-Focipeysa/dp/B0BQRB8VT5/ref=sr_1_236?qid=1689463125&s=beauty&sr=1-236
"Maybelline New York Fit Me Matte + Poreless Liquid Oil-Free Foundation Makeup, Natural Beige, 1 fl; oz",None,$6.94,yes,https://www.amazon.com/Maybelline-Poreless-Foundation-Natural-Oil-Free/dp/B00PFCSURS/ref=sr_1_237?qid=1689463125&s=beauty&sr=1-237
"CETAPHIL Redness Relieving Daily Facial Moisturizer SPF 20, 1.7 fl oz, Broad spectrum Sunscreen, Neutral Tint, For Redness-Prone Skin",Cetaphil,$13.99,yes,https://www.amazon.com/Cetaphil-Redness-Relieving-Facial-Moisturizer/dp/B01M31HUYJ/ref=sr_1_238?qid=1689463125&rdc=1&s=beauty&sr=1-238
"NYX PROFESSIONAL MAKEUP Epic Wear Liquid Liner, Long-Lasting Waterproof Eyeliner - Black",NYX PROFESSIONAL MAKEUP,$8.64,yes,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Liquid-Eyeliner/dp/B0856FBCS4/ref=sr_1_239?qid=1689463125&s=beauty&sr=1-239
"L’Oréal Paris Makeup Infallible Never Fail Original Mechanical Pencil Eyeliner with Built in Sharpener, Black, 1 Count",L’Oréal Paris,$7.82,yes,https://www.amazon.com/LOr%C3%A9al-Paris-Makeup-Infallible-Eyeliner/dp/B004BDVF6A/ref=sr_1_240?qid=1689463125&s=beauty&sr=1-240
"Prime Prometics PrimeLash Mascara for Women over 50 – Volumizing, Incredible Length in 2 Coats – Long-Stay, Zero Clumps, Hypoallergenic (Black)",PRIME PROMETICS,$28.00,yes,https://www.amazon.com/Prime-Prometics-PrimeLash-Mascara-Women/dp/B0BG6FXQCC/ref=sr_1_241?qid=1689463125&s=beauty&sr=1-241
"Peripera Ink the Velvet Lip Tint | High Pigment Color, Longwear, Weightless, Not Animal Tested, Gluten-Free, Paraben-Free | #015 BEAUTY PEAK ROSE, 0.14 fl oz",Peripera,$9.90,yes,https://www.amazon.com/Peripera-Longwear-Weightless-Gluten-Free-Paraben-Free/dp/B087J7WY3J/ref=sr_1_242?qid=1689463125&s=beauty&sr=1-242
Broadway Vita-Lip Clear Lip Gloss 0.47oz/14ml (10 PCS SET),Broadway,$8.49,yes,https://www.amazon.com/Broadway-Vita-Lip-Clear-Gloss-0-47oz/dp/B09DMGWJKY/ref=sr_1_243?qid=1689463125&s=beauty&sr=1-243
"wet n wild Color Icon Kohl Eyeliner Pencil Black, Long Lasting, Highly Pigmented, No Smudging, Smooth Soft Gliding, Eye Liner Makeup, Baby's Got Black",wet n wild,$1.00,yes,https://www.amazon.com/Color-Eyeliner-Pencil-Babys-Black/dp/B00UZ8X9H8/ref=sr_1_244?qid=1689463125&s=beauty&sr=1-244
"Maybelline New York Volum' Express Colossal Waterproof Mascara Makeup, Volumizing, Glam Black, 1 Count",Maybelline New York,"$6,72",yes,https://www.amazon.com/Maybelline-Express-Colossal-Waterproof-Mascara/dp/B002LFLVFK/ref=sr_1_245?qid=1689463125&s=beauty&sr=1-245
"wet n wild Silk Finish Lip Stick, Just Garnet, 0.13 Ounce",wet n wild,$0.98,yes,https://www.amazon.com/wet-wild-Finish-Stick-Garnet/dp/B00YFQ1JH8/ref=sr_1_246?qid=1689463125&s=beauty&sr=1-246
"e.l.f. Camo Color Corrector, Hydrating & Long-Lasting Color Corrector For Camouflaging Discoloration, Dullness & Redness, Vegan & Cruelty-Free, Orange",None,$4.00,yes,https://www.amazon.com/l-f-Long-Lasting-Camouflaging-Discoloration-Cruelty-Free/dp/B0BSP3FS7W/ref=sr_1_247?qid=1689463125&s=beauty&sr=1-247
"URBAN DECAY Naked Mini Eyeshadow Palette - 6 Shades - Great for Travel - Ultra-Blendable, Rich Colors with Velvety Texture - Up to 12 Hour Wear",None,$33.00 ,yes,https://www.amazon.com/Urban-Decay-Naked-Eyeshadow-Palette/dp/B09V3D93G1/ref=sr_1_248?qid=1689463125&s=beauty&sr=1-248
"Sacheu Lip Liner Stay-N - Peel Off Lip Liner Tattoo, Peel Off Lip Stain, Long Lasting Lip Stain Peel Off, Infused with Hyaluronic Acid & Vitamin E, For All Skin Types - p-INKED Shade, Pack of 1",Sacheu,"$12,00",No,https://www.amazon.com/Sacheu-Lip-Liner-Stay-N-Hyaluronic/dp/B0BVPNQW1C/ref=sr_1_249?qid=1689463125&s=beauty&sr=1-249
"L’Oréal Paris Cosmetics Telescopic Lift Waterproof Mascara, Lengthening and Volumizing Eye Makeup, Lash Lift with Up to 36HR Wear, Black, 0.33 Fl Oz",L’Oréal Paris,$11.99,yes,https://www.amazon.com/Paris-Telescopic-Waterproof-Lengthening-Volumizing/dp/B0BCQYNB8Y/ref=sr_1_250?qid=1689463125&s=beauty&sr=1-250
"wet n wild Color Icon Kohl Liner Pencil, Simma Brown Now!, 0.04 Ounce",wet n wild,$0.89,yes,https://www.amazon.com/wet-wild-Color-Liner-Pencil/dp/B00WT26UX8/ref=sr_1_251?qid=1689463125&s=beauty&sr=1-251
Grande Cosmetics GrandeLIPS Plumper,Grande Cosmetics,$14.00,yes,https://www.amazon.com/GrandeLIPS-Hydrating-Plumper-Gloss-Clear/dp/B00T5DZ4C2/ref=sr_1_252?qid=1689463125&s=beauty&sr=1-252
"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Praline (Deep Nude)",NYX PROFESSIONAL MAKEUP,$4.97,yes,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Butter-Praline/dp/B00ICU1JIC/ref=sr_1_245?qid=1689463128&s=beauty&sr=1-245
"NYX PROFESSIONAL MAKEUP Concealer Wand, Fair, 0.11-Ounce",None,$4.97,yes,https://www.amazon.com/NYX-Cosmetics-Concealer-Wand-0-11-Ounce/dp/B002S8Z5CK/ref=sr_1_246?qid=1689463128&s=beauty&sr=1-246
wet n wild Mega Slicks Lip Gloss | Long Lasting | Hyaluronic Acid | High Shine | Crystal Clear,wet n wild,$2.28,yes,https://www.amazon.com/Wet-Wild-Lasting-Hyaluronic-Crystal/dp/B09NX3KFM8/ref=sr_1_247?qid=1689463128&s=beauty&sr=1-247
"Peripera Ink the Velvet Lip Tint, Liquid Lip (0.14 fl oz, 025 CINNAMON NUDE)",Peripera,$9.90,yes,https://www.amazon.com/Peripera-Velvet-Tint-Liquid-CINNAMON/dp/B09PYLBZJN/ref=sr_1_248?qid=1689463128&s=beauty&sr=1-248
